label,quality_estimate,total_videos,evaluation_videos,balanced_train_videos,unbalanced_train_videos,evaluation_hours,balanced_train_hours,unbalanced_train_hours
Music,100.0,1011305,5695,6244,999366,2801.8,15.8,17.3
Speech,100.0,1010480,5324,5735,999421,2793.5,14.7,15.9
Vehicle,100.0,128051,780,860,126411,354.2,2.2,2.4
Musical instrument,100.0,117343,406,532,116405,325.9,1.1,1.5
Plucked string instrument,100.0,44565,254,302,44009,123.8,0.7,0.8
Singing,100.0,42493,362,517,41614,118.0,1.0,1.4
Car,100.0,41554,280,296,40978,114.9,0.8,0.8
Animal,100.0,40758,698,734,39326,112.6,1.9,2.0
"Outside, rural or natural",100.0,35731,185,255,35291,99.1,0.5,0.7
"Violin, fiddle",100.0,28125,60,64,28001,78.1,0.2,0.2
Bird,100.0,26894,208,172,26514,74.6,0.6,0.5
Drum,100.0,20246,197,189,19860,56.2,0.5,0.5
Engine,100.0,16245,189,186,15870,45.0,0.5,0.5
"Narration, monologue",100.0,15590,60,60,15470,43.3,0.2,0.2
Drum kit,100.0,15169,82,94,14993,42.1,0.2,0.3
Acoustic guitar,100.0,14568,92,60,14416,40.5,0.3,0.2
Dog,100.0,13705,230,273,13202,37.9,0.6,0.8
"Child speech, kid speaking",100.0,11816,211,154,11451,32.8,0.6,0.4
Bass drum,100.0,9292,89,87,9116,25.8,0.2,0.2
Rail transport,100.0,9052,172,189,8691,25.1,0.5,0.5
Motor vehicle (road),100.0,9044,90,63,8891,25.0,0.2,0.2
Water,100.0,8994,294,286,8414,24.9,0.8,0.8
"Female speech, woman speaking",100.0,8513,75,60,8378,23.6,0.2,0.2
Siren,100.0,8498,212,207,8079,23.5,0.6,0.6
"Railroad car, train wagon",100.0,8361,166,183,8012,23.2,0.5,0.5
Tools,100.0,8107,100,101,7906,22.5,0.3,0.3
Silence,100.0,7662,59,60,7543,21.2,0.2,0.2
Snare drum,100.0,6842,82,93,6667,19.0,0.2,0.3
Wind,100.0,6805,183,168,6454,18.9,0.5,0.5
"Bird vocalization, bird call, bird song",100.0,6372,169,128,6075,17.7,0.5,0.4
Fowl,100.0,6248,213,202,5833,17.3,0.6,0.6
"Wind instrument, woodwind instrument",100.0,6083,262,262,5559,16.9,0.7,0.7
Emergency vehicle,100.0,5730,144,141,5445,15.8,0.4,0.4
Laughter,100.0,5696,119,112,5465,15.8,0.3,0.3
"Chirp, tweet",100.0,4633,70,60,4503,12.8,0.2,0.2
Rapping,100.0,4496,62,60,4374,12.5,0.2,0.2
Cheering,100.0,4380,61,65,4254,12.2,0.2,0.2
"Gunshot, gunfire",100.0,4221,174,178,3869,11.6,0.5,0.5
Radio,100.0,4214,60,60,4094,11.7,0.2,0.2
Cat,100.0,3964,109,122,3733,10.9,0.3,0.3
Hi-hat,100.0,3900,60,60,3780,10.8,0.2,0.2
Helicopter,100.0,3698,60,60,3578,10.3,0.2,0.2
Fireworks,100.0,3051,60,60,2931,8.4,0.2,0.2
Stream,100.0,2847,60,60,2727,7.9,0.2,0.2
Bark,100.0,2632,60,60,2512,7.3,0.2,0.2
"Baby cry, infant cry",100.0,2390,60,60,2270,6.6,0.2,0.2
Snoring,100.0,2334,60,60,2214,6.5,0.2,0.2
Train horn,100.0,2275,62,63,2150,6.3,0.2,0.2
Double bass,100.0,2274,60,61,2153,6.3,0.2,0.2
Explosion,100.0,2274,60,63,2151,6.0,0.2,0.2
"Crowing, cock-a-doodle-doo",100.0,2093,60,60,1973,5.7,0.2,0.2
Bleat,100.0,2078,61,60,1957,5.7,0.2,0.2
Computer keyboard,100.0,2042,60,60,1922,5.7,0.2,0.2
Civil defense siren,100.0,1963,60,60,1843,5.5,0.2,0.2
"Bee, wasp, etc.",100.0,1868,60,60,1748,5.2,0.2,0.2
Bell,100.0,1844,60,60,1724,5.1,0.2,0.2
Chainsaw,100.0,1787,60,60,1667,5.0,0.2,0.2
Oink,100.0,1784,60,60,1664,4.9,0.2,0.2
Tick,100.0,1746,60,60,1626,4.8,0.2,0.2
Tabla,100.0,1729,63,63,1603,4.8,0.2,0.2
Liquid,100.0,1721,61,61,1599,4.8,0.2,0.2
"Traffic noise, roadway noise",100.0,1694,68,60,1566,4.7,0.2,0.2
"Beep, bleep",100.0,1600,61,62,1477,4.3,0.2,0.2
Frying (food),100.0,1594,60,60,1474,4.4,0.2,0.2
"Whack, thwack",100.0,1563,60,62,1441,4.3,0.2,0.2
Sink (filling or washing),100.0,1552,61,66,1425,4.3,0.2,0.2
"Burping, eructation",100.0,1302,60,60,1182,3.5,0.2,0.2
Fart,100.0,1231,61,60,1110,3.3,0.2,0.2
Sneeze,100.0,1200,59,60,1081,3.3,0.2,0.2
Aircraft engine,100.0,1155,60,60,1035,3.2,0.2,0.2
Arrow,100.0,1072,61,60,951,3.0,0.2,0.2
Giggle,100.0,991,60,60,871,2.7,0.2,0.2
Hiccup,100.0,931,60,60,811,2.6,0.2,0.2
Cough,100.0,871,60,60,751,2.4,0.2,0.2
Cricket,100.0,859,64,63,732,2.4,0.2,0.2
Sawing,100.0,804,60,60,684,2.2,0.2,0.2
Tambourine,100.0,745,60,60,625,2.1,0.2,0.2
Pump (liquid),100.0,603,60,61,482,1.7,0.2,0.2
Squeak,100.0,192,60,60,72,0.5,0.2,0.2
"Male speech, man speaking",90.0,17716,63,60,17593,49.1,0.2,0.2
Keyboard (musical),90.0,10473,148,142,10183,29.1,0.4,0.4
"Pigeon, dove",90.0,8523,60,60,8403,23.6,0.2,0.2
"Motorboat, speedboat",90.0,8078,60,60,7958,22.4,0.2,0.2
Female singing,90.0,7949,60,60,7829,22.0,0.2,0.2
Brass instrument,90.0,7513,213,231,7069,20.9,0.6,0.6
Motorcycle,90.0,7261,61,60,7140,20.1,0.2,0.2
Choir,90.0,6709,98,62,6549,18.6,0.3,0.2
"Race car, auto racing",90.0,6574,75,60,6439,18.2,0.2,0.2
"Chicken, rooster",90.0,6352,86,82,6184,17.6,0.2,0.2
Idling,90.0,6241,92,60,6089,17.3,0.3,0.2
Sampler,90.0,5457,61,60,5336,15.2,0.2,0.2
Ukulele,90.0,5292,60,60,5172,14.7,0.2,0.2
Synthesizer,90.0,5041,60,60,4921,14.0,0.2,0.2
Cymbal,90.0,4688,70,64,4554,13.0,0.2,0.2
Spray,90.0,3080,60,60,2960,8.5,0.2,0.2
Accordion,90.0,2894,61,61,2772,8.0,0.2,0.2
Scratching (performance technique),90.0,2890,61,61,2768,8.0,0.2,0.2
Child singing,90.0,2644,60,60,2524,7.3,0.2,0.2
Cluck,90.0,2483,60,60,2363,6.9,0.2,0.2
"Water tap, faucet",90.0,2442,75,87,2280,6.8,0.2,0.2
Applause,90.0,2247,60,64,2123,6.2,0.2,0.2
Toilet flush,90.0,2243,60,60,2123,6.2,0.2,0.2
Whistling,90.0,1985,60,61,1864,5.5,0.2,0.2
Vacuum cleaner,90.0,1974,60,60,1854,5.5,0.2,0.2
Meow,90.0,1961,61,60,1840,5.3,0.2,0.2
Chatter,90.0,1952,60,60,1832,5.4,0.2,0.2
Whoop,90.0,1889,60,60,1769,5.2,0.2,0.2
Sewing machine,90.0,1867,60,60,1747,5.2,0.2,0.2
Bagpipes,90.0,1776,61,60,1655,4.9,0.2,0.2
"Subway, metro, underground",90.0,1756,61,60,1635,4.9,0.2,0.2
"Walk, footsteps",90.0,1683,60,60,1563,4.6,0.2,0.2
Whispering,90.0,1656,62,60,1534,4.6,0.2,0.2
"Crying, sobbing",90.0,1462,62,60,1340,4.1,0.2,0.2
Thunder,90.0,1296,63,70,1163,3.6,0.2,0.2
Didgeridoo,90.0,1240,60,60,1120,3.4,0.2,0.2
Church bell,90.0,1202,62,66,1074,3.3,0.2,0.2
Ringtone,90.0,1123,61,60,1002,3.1,0.2,0.2
Buzzer,90.0,977,60,60,857,2.7,0.2,0.2
"Splash, splatter",90.0,939,60,61,818,2.6,0.2,0.2
Fire alarm,90.0,921,60,60,801,2.6,0.2,0.2
Chime,90.0,912,63,66,783,2.5,0.2,0.2
Babbling,90.0,862,60,60,742,2.4,0.2,0.2
Glass,90.0,845,60,60,725,2.3,0.2,0.2
"Chewing, mastication",90.0,829,60,60,709,2.3,0.2,0.2
Microwave oven,90.0,823,60,60,703,2.3,0.2,0.2
"Air horn, truck horn",90.0,810,60,59,691,2.2,0.2,0.2
Growling,90.0,787,62,61,664,2.2,0.2,0.2
Telephone bell ringing,90.0,703,60,60,583,1.9,0.2,0.2
Moo,90.0,689,60,60,569,1.9,0.2,0.2
Change ringing (campanology),90.0,665,60,60,545,1.8,0.2,0.2
Hands,90.0,437,60,60,317,1.2,0.2,0.2
Camera,90.0,429,60,63,306,1.2,0.2,0.2
Pour,90.0,394,60,60,274,1.1,0.2,0.2
Croak,90.0,380,60,60,260,1.0,0.2,0.2
Pant,90.0,292,60,60,172,0.8,0.2,0.2
Finger snapping,90.0,164,60,60,44,0.4,0.2,0.2
Gargling,90.0,137,60,60,17,0.4,0.2,0.2
"Inside, small room",88.89,76694,590,764,75340,212.8,1.6,2.1
"Outside, urban or manmade",88.89,34343,226,256,33861,95.0,0.6,0.7
Truck,88.89,11045,101,74,10870,30.6,0.3,0.2
Bowed string instrument,88.89,10296,111,115,10070,28.6,0.3,0.3
Medium engine (mid frequency),88.89,6132,60,60,6012,17.0,0.2,0.2
"Marimba, xylophone",88.89,5516,73,82,5361,15.3,0.2,0.2
Aircraft,88.89,5476,113,109,5254,15.2,0.3,0.3
Cello,88.89,5282,67,67,5148,14.7,0.2,0.2
Flute,88.89,4781,60,62,4659,13.3,0.2,0.2
Glockenspiel,88.89,4119,64,66,3989,11.4,0.2,0.2
Power tool,88.89,3293,77,75,3141,9.1,0.2,0.2
"Fixed-wing aircraft, airplane",88.89,2985,66,61,2858,8.3,0.2,0.2
"Waves, surf",88.89,2819,63,64,2692,7.8,0.2,0.2
Duck,88.89,2603,60,60,2483,7.2,0.2,0.2
Clarinet,88.89,2121,60,63,1998,5.9,0.2,0.2
Goat,88.89,2047,60,60,1927,5.6,0.2,0.2
Honk,88.89,1829,60,60,1709,5.1,0.2,0.2
Skidding,88.89,1541,60,60,1421,4.3,0.2,0.2
Hammond organ,88.89,1408,62,69,1277,3.9,0.2,0.2
Electronic organ,88.89,1325,63,61,1201,3.7,0.2,0.2
Thunderstorm,88.89,1262,63,65,1134,3.5,0.2,0.2
Steelpan,88.89,988,60,59,869,2.7,0.2,0.2
"Slap, smack",88.89,870,60,59,751,2.2,0.1,0.2
Battle cry,88.89,447,60,60,327,1.2,0.2,0.2
Percussion,87.5,16948,247,263,16438,47.1,0.7,0.7
Trombone,87.5,2795,64,65,2666,7.8,0.2,0.2
Banjo,87.5,2456,60,60,2336,6.8,0.2,0.2
Mandolin,85.71,2375,63,60,2252,6.6,0.2,0.2
Guitar,80.0,51597,306,350,50941,143.3,0.8,1.0
Strum,80.0,14002,63,60,13879,38.9,0.2,0.2
"Boat, Water vehicle",80.0,13571,239,242,13090,37.6,0.7,0.7
"Accelerating, revving, vroom",80.0,12038,151,60,11827,33.2,0.4,0.2
Electric guitar,80.0,12024,125,65,11834,33.4,0.3,0.2
Orchestra,80.0,8414,60,60,8294,23.4,0.2,0.2
Wind noise (microphone),80.0,6464,149,143,6172,17.9,0.4,0.4
Effects unit,80.0,4778,111,107,4560,13.3,0.3,0.3
"Livestock, farm animals, working animals",80.0,4535,115,124,4296,12.5,0.3,0.3
Police car (siren),80.0,3659,60,61,3538,10.1,0.2,0.2
Rain,80.0,3392,104,113,3175,9.4,0.3,0.3
Printer,80.0,3383,60,60,3263,9.4,0.2,0.2
Drum machine,80.0,3348,69,60,3219,9.3,0.2,0.2
"Fire engine, fire truck (siren)",80.0,3199,61,60,3078,8.8,0.2,0.2
Insect,80.0,3164,168,171,2825,8.8,0.5,0.5
Skateboard,80.0,3049,61,60,2928,8.4,0.2,0.2
Coo,80.0,2918,60,61,2797,8.1,0.2,0.2
Conversation,80.0,2264,60,60,2144,6.3,0.2,0.2
Typing,80.0,2108,60,66,1982,5.8,0.2,0.2
Harp,80.0,2043,60,62,1921,5.7,0.2,0.2
"Thump, thud",80.0,1800,60,60,1680,5.0,0.2,0.2
Mechanisms,80.0,1785,109,118,1558,4.9,0.3,0.3
"Canidae, dogs, wolves",80.0,1704,64,60,1580,4.7,0.2,0.2
"Chuckle, chortle",80.0,1693,62,60,1571,4.7,0.2,0.2
Rub,80.0,1667,139,145,1383,4.6,0.4,0.4
Boom,80.0,1650,60,61,1529,4.6,0.2,0.2
"Hubbub, speech noise, speech babble",80.0,1480,60,60,1360,4.1,0.2,0.2
Telephone,80.0,1298,60,60,1178,3.6,0.2,0.2
Blender,80.0,1263,60,60,1143,3.5,0.2,0.2
Whimper,80.0,1255,60,59,1136,3.4,0.2,0.2
Screaming,80.0,1246,61,59,1126,3.4,0.2,0.2
Wild animals,80.0,1175,63,61,1051,3.3,0.2,0.2
Pig,80.0,984,60,60,864,2.7,0.2,0.2
Artillery fire,80.0,980,60,61,859,2.7,0.2,0.2
"Electric shaver, electric razor",80.0,865,60,60,745,2.4,0.2,0.2
Baby laughter,80.0,863,61,60,742,2.4,0.2,0.2
Crow,80.0,850,60,60,730,2.3,0.2,0.2
Howl,80.0,838,60,60,718,2.3,0.2,0.2
Breathing,80.0,834,61,61,712,2.3,0.2,0.2
"Cattle, bovinae",80.0,820,62,62,696,2.2,0.2,0.2
"Roaring cats (lions, tigers)",80.0,792,61,60,671,2.2,0.2,0.2
Clapping,80.0,790,60,60,670,2.2,0.2,0.2
Alarm,80.0,787,61,60,666,2.2,0.2,0.2
"Chink, clink",80.0,784,60,60,664,2.1,0.2,0.2
Ding,80.0,775,67,62,646,2.1,0.2,0.2
Toot,80.0,753,60,60,633,2.1,0.2,0.2
Clock,80.0,735,60,60,615,2.0,0.2,0.2
Children shouting,80.0,673,60,60,553,1.9,0.2,0.2
Fill (with liquid),80.0,636,60,60,516,1.8,0.2,0.2
Purr,80.0,543,60,60,423,1.5,0.2,0.2
Rumble,80.0,501,60,60,381,1.4,0.2,0.2
Boing,80.0,476,60,61,355,1.3,0.2,0.2
Breaking,80.0,466,60,60,346,1.2,0.2,0.2
Light engine (high frequency),80.0,433,60,60,313,1.2,0.2,0.2
Cash register,80.0,366,60,60,246,1.0,0.2,0.2
Bicycle bell,80.0,224,60,60,104,0.6,0.2,0.2
"Inside, large room or hall",77.78,27975,162,168,27645,77.7,0.5,0.5
"Domestic animals, pets",77.78,19842,348,412,19082,54.9,1.0,1.1
Bass guitar,77.78,6441,60,60,6321,17.9,0.2,0.2
Electric piano,77.78,4673,61,62,4550,13.0,0.2,0.2
Trumpet,77.78,3834,63,64,3707,10.6,0.2,0.2
Horse,77.78,3319,86,77,3156,9.1,0.2,0.2
Mallet percussion,77.78,3248,61,61,3126,9.0,0.2,0.2
Organ,77.78,2962,123,119,2720,8.2,0.3,0.3
Bicycle,77.78,2958,60,60,2838,8.1,0.2,0.2
Rain on surface,77.78,2859,60,60,2739,7.9,0.2,0.2
Quack,77.78,2582,74,76,2432,7.1,0.2,0.2
Drill,77.78,1978,60,60,1858,5.5,0.2,0.2
Machine gun,77.78,1858,60,61,1737,5.1,0.2,0.2
Lawn mower,77.78,1626,60,60,1506,4.5,0.2,0.2
"Smash, crash",77.78,1475,60,60,1355,4.1,0.2,0.2
"Trickle, dribble",77.78,1353,60,60,1233,3.7,0.2,0.2
Frog,77.78,1248,61,62,1125,3.4,0.2,0.2
Writing,77.78,843,60,60,723,2.3,0.2,0.2
Steam whistle,77.78,825,70,70,685,2.3,0.2,0.2
Groan,77.78,702,60,60,582,1.9,0.2,0.2
Hammer,77.78,505,60,60,385,1.4,0.2,0.2
Doorbell,77.78,331,60,60,211,0.9,0.2,0.2
Shofar,77.78,329,60,60,209,0.9,0.2,0.2
Cowbell,77.78,299,60,60,179,0.8,0.2,0.2
"Wail, moan",77.78,215,60,59,96,0.6,0.2,0.2
Bouncing,77.78,214,60,60,94,0.6,0.2,0.2
Distortion,75.0,2915,118,62,2735,8.1,0.3,0.2
Vibraphone,75.0,1522,60,60,1402,4.2,0.2,0.2
Air brake,75.0,877,60,60,757,2.4,0.2,0.2
Field recording,75.0,363,60,60,243,1.0,0.2,0.2
Piano,70.0,11523,91,87,11345,32.0,0.3,0.2
Male singing,70.0,7224,61,60,7103,20.0,0.2,0.2
Bus,70.0,5290,60,59,5171,14.6,0.2,0.2
